company_name,email,status
Soloop,admin@soloop.io,invited
WaitJi Ai,admin@waitjiai.in,invited
CertPilot,alex@certpilot.app,invited
WHY Audit™,alex@strategicflow.tech,claimed
Font Finder by What Font Is,alex@whatfontis.com,invited
FeaturePulse,alexnsbmr@gmail.com,invited
Webleadr,amin@webleadr.com,invited
WhyDoesMySiteSuck,answer@whydoesmysitesuck.com,invited
PostHog,brian@getposthog.com,invited
Snapdown,broden@snapdown.com.au,invited
CapCut,capcut.support@bytedance.com,invited
VEDA,careers@samta.ai,invited
Pikimov,clement@pikimov.com,invited
Driven,community@driven.ai,invited
All MCPs,contact@allmcps.com,invited
Hayati AI Nexus,contact@hayatiainexus.com,invited
LangSync App,contact@langsync.app,invited
LiftOff,contact@lift-off.sh,invited
NetlifyAPP,contact@netlifyapp.org,invited
QWQ AI,contact@qwq32.com,invited
Rawpixel,contact@rawpixel.com,invited
Snapchat Planets,contact@snapchatplanetts.com,invited
SocialRails,contact@socialrails.com,invited
Wan AI Platform,contact@towan.net,invited
UndetectedGPT,contact@undetectedgpt.ai,invited
Verified Tools,contact@verifiedtools.info,invited
Vocova,contact@vocova.app,invited
ForthWrite,curtis@forthwrite.ai,invited
Resend,delivered@resend.dev,invited
Open Minis,dev@openminis.me,invited
FleetStart Radar,digidentai@proton.me,invited
Ecommerce Leads,diogo@getecommerceleads.com,invited
10015 Image Tool,fatih.telis@gmail.com,invited
Laike AI,footer_social_contact@laike.ai,invited
Joobee,founder@joobee.app,invited
LinkPilot,gheorghecostin221@gmail.com,invited
BSA Calculator,giriraj.bungalow.1@gmail.com,invited
SeaGames,haiji@seagames.com,invited
LuminaAudio,harshdeepsinghdhilllon@gmail.com,invited
MyOG,hboon@myog.social,invited
AI Browser,hello@aibrowser.surf,invited
AI Song Maker,hello@aisongmaker.top,invited
AuditBadger,hello@auditbadger.com,invited
BudgetNest,hello@budgetnest.uk,invited
bZm Graphics,hello@bzmgraphics.com,invited
MOTHER,hello@coastcreative.studio,invited
Coldtea.ai,hello@coldtea.ai,invited
Ctruh Studio,hello@ctruh.com,invited
DATA HIT,hello@datahit.co,invited
Demodesk,hello@demodesk.com,invited
Sora Invite Code,hello@demodesk.com,invited
DPP Hero,hello@dpphero.com,invited
Fokal,hello@fokal.com,invited
Folify,hello@folify.me,invited
GenPPT,hello@genppt.ai,invited
Growth Roles,hello@growthroles.com,invited
Hey Noah,hello@heynoah.io,invited
Hyper Notepad,hello@hypernotepad.com,invited
Image Prompts,hello@imageprompts.co,invited
InMinutes,hello@inminutes.app,invited
Inngest,hello@inngest.com,invited
LangSync,hello@langsync.ai,invited
Linear,hello@linear.app,invited
LiveLingo,hello@livelingo.io,invited
MCP Playground Online,hello@mcpplaygroundonline.com,invited
Murmell,hello@murmell.com,invited
Nano Banana 2 pro,hello@nano2.net,invited
Noodle Seed,hello@noodleseed.com,invited
Our Token,hello@ourtoken.ai,invited
PetMemo,hello@petmemo.app,invited
Pitchlo,hello@pitchlo.com,invited
Plausible,hello@plausible.io,invited
Qria,hello@qria.io,invited
RapidPhish,hello@rapidphish.com,invited
Rierino CMS,hello@rierino.com,invited
ShipFast,hello@shipfa.st,invited
Shipybara,hello@shipybara.com,invited
StepShot,hello@stepshot.app,invited
SublimeKeys,hello@sublimearts.io,invited
Supersparks,hello@supersparks.io,invited
Tally,hello@tally.so,invited
Shadcn UI Kit,hello@tobybelhome.com,invited
Device Mockup Generator,hello@toolfame.com,invited
The Garden of Mind,hello@toshilabs.be,invited
Trigger.dev,hello@trigger.dev,invited
Troopr,hello@troopr.io,invited
Hoverify,hello@tryhoverify.com,invited
URL2Pin,hello@url2pin.com,invited
Harmony AI,hello@useharmony.com,invited
Welkome,hello@welkome.app,invited
Windsurf,hello@windsurf.com,invited
base,hello@withbase.ai,invited
Fathom,help@fathom.video,invited
Ruler.im,help@specterr.com,invited
Spline,help@spline.design,invited
Whimsical,help@whimsical.com,invited
Granola,hey@granola.so,invited
Status Page,hey@statuspage.me,invited
Asmrvideo,hi@asmrvideo.ai,invited
AvenChat Gemma 4,hi@avenchat.com,invited
Crevas AI,hi@crevas.ai,invited
Cursor,hi@cursor.com,invited
Finzen,hi@finzen.org,invited
Glasp MCP Connector,hi@glasp.co,invited
Chute,hi@jacksonfall.com,invited
eSideHustles,hi@odehahwal.com,invited
RayTally,hi@raytally.com,invited
Vecteezy,hkhan@vecteezy.com,invited
TPG,hola@jorgearrojo.dev,invited
Davinci Resolve,info-usa@blackmagicdesign.com,invited
AccessAudit,info@accessaudit.org,invited
BeTopSEO,info@betopseo.com,invited
Blix,info@blix.ai,invited
Customer Feedback,info@cfeedback.com,invited
ClashPop,info@clashpop.app,invited
Time,info@menubartime.com,invited
MygomSEO,info@mygom.tech,invited
Postman,info@postman.com,invited
QR Menu Generator,info@qrmenugenerator.io,invited
schemawriter.ai,info@seodanmark.dk,invited
Synplex,info@synplex.dev,invited
watchflow,info@technologycircle.io,invited
TechTitans.Cloud,info@techtitans.cloud,invited
Techietribe AI,info@thetechietribe.com,invited
Turso,info@turso.tech,invited
WordSec,info@wordsec.net,invited
YacDaddy,james@yacdaddy.com,invited
The SEO Agent,jeremy@theseoagent.ai,invited
moonies,jij@jouwzaak.nl,invited
MarsX,john@marsx.dev,invited
SocialKit,jonathan@socialkit.dev,invited
ArrayCat,jouni@arraycat.com,invited
Needle,julian@needle.so,invited
Vehla,kailaconsulting@outlook.com,invited
Seline Analytics,kostya@seline.com,invited
Quick Note Tab,manajerry@yahht.com,invited
SEO Mode,mehrab@seomode.co,invited
Briefix,muneebmuhammad444@gmail.com,invited
MySudokuWorld,mysudokuworld@gmail.com,invited
Bubble,partnerships@bubble.io,invited
Tweetboost Gif Download,peter@tweetboost.ai,invited
Pikkovia,pikkoviahelp@gmail.com,invited
Contract Aura,praneetbrar7@gmail.com,invited
Figma,press@figma.com,invited
Hugging Face,press@huggingface.co,invited
Runway,press@runwayml.com,invited
Superhuman,press@superhuman.com,invited
HEIC to PDF,press@wps.com,invited
MicroHunts,product@focusapps.app,invited
ProductLaunchify,productlaunchify@gmail.com,invited
Mirr,qkrrnjsqkr12@gmail.com,invited
DigitalOcean,recops@digitalocean.com,invited
AIThumbnail.so,sacha@aithumbnail.so,invited
Aepto – AI Domain Monitoring,sales@aepto.com,invited
Claude,sales@anthropic.com,invited
Autelpilot,sales@autelpilot.com,invited
ClickTerm,sales@clickterm.com,invited
Highlight,sales@highlight.io,invited
Scrollmark,sales@scrollmark.com,invited
NextDoor.Company,sankalp@nextdoor.company,invited
Mentionkit,shash@mentionkit.com,invited
Sweep Weasel,slimeandspin@gmail.com,invited
Camprtron,social@camprtron.com,invited
ul0,stablersleet@duck.com,invited
ColdCraft,strategic@hgsstrategic.com,invited
Strategic Flow Audit,strategicflow@proton.me,claimed
WHY Audit™,strategicflow@proton.me,claimed
1-Click Linux,support@1clicklinux.org,invited
Action Figure AI Generator,support@actionfiguregenerator.org,invited
AdeptDev,support@adeptdev.io,invited
AgentSky,support@agentsky.dev,invited
AI ATS Checker,support@aiatschecker.com,invited
AI Coloring Page,support@aicolor.page,invited
Ai pet portrait generator,support@aipetportraitgenerator.org,invited
Airtop (Mark),support@airtop.ai,invited
Any2URL,support@any2url.com,invited
AO3dle,support@ao3dle.com,invited
ApparenceKit,support@apparence.io,invited
AppScreens,support@appscreens.com,invited
Chronoid,support@appscreens.com,invited
Atlaso,support@atlaso.ai,invited
ATS Checker,support@atschecker.app,invited
Autovirality,support@autovirality.com,invited
Aveiro,support@aveiro.app,invited
BG Remove Pro,support@bgremovepro.com,invited
ByteRivet,support@byterivet.com,invited
Cal.com,support@cal.com,invited
CaseFunders,support@casefunders.com,invited
CheckViral,support@checkviral.ai,invited
Circle Crop Image,support@circlecropimage.dev,invited
Cited,support@cited.so,invited
Cohere,support@cohere.com,invited
Conference Database,support@conferencedatabase.com,invited
CreatOK,support@creatok.ai,invited
CustomSong,support@customsong.app,invited
Cyberbara,support@cyberbara.com,invited
DataBlur,support@datablur.app,invited
DeepSeek Video,support@deepseekvideo.org,invited
DocuGenerate,support@docugenerate.com,invited
DrillFlow,support@drillflow.de,invited
Eleidon,support@eleidon.com,invited
feedback.tools,support@feedback.tools,invited
Feedspace,support@feedspace.io,invited
FilePulse,support@filepulse.io,invited
FormFlux,support@formflux.io,invited
GenSong,support@gensong.ai,invited
Rollout,support@getrollout.app,invited
GPT Image Prompts,support@gptimageprompts.com,invited
GPTIMG2 AI,support@gptimg2.ai,invited
Greenmor Mail,support@greenmormail.com,invited
Happyhorses AI,support@happyhorses-ai.pro,invited
HiFun AI,support@hifun.ai,invited
HTMLSave,support@htmlsave.com,invited
VirWorld AI,support@image-to-video.com,invited
GPT Image 2,support@image2maker.com,invited
Magic Listing AI,support@insightagent.app,invited
Intermittent Fasting Calculator,support@intermittentfastingcalculator.org,invited
Flux Kontext AI,support@kontext-ai.com,invited
Krea 2 Image,support@krea2.co,invited
LitVideo,support@litmedia.ai,invited
Lokuma.ai,support@lokuma.ai,invited
LoveTunesAI,support@lovetunesai.com,invited
MailSynth,support@mailsynth.com,invited
Maton,support@maton.ai,invited
MEANINGS,support@meanings.live,invited
MEDIAPRONET,support@mediapronet.com,invited
PDFuck,support@mksaas.com,invited
Seedream 6.0,support@mockuplabs.ai,invited
ModelsLab,support@modelslab.com,invited
moldledger,support@moldledger.com,invited
MuseCraft AI,support@musecraft.ai,invited
JobLog,support@myjoblog.app,invited
Nano Banana Video,support@nanabanana.video,invited
Remove Watermark Sora 2,support@nanophoto.ai,invited
Netlify,support@netlify.com,invited
NewFollowers,support@newfollowers.net,invited
NooneWeb3Wallet,support@noone.io,invited
Open Game,support@opengame.app,invited
Imposter Game Generator,support@pdfbolt.com,invited
PDFBolt,support@pdfbolt.com,invited
Penpot,support@penpot.app,invited
Picoo,support@picooai.com,invited
Pitch,support@pitch.com,invited
Polar,support@polar.sh,invited
PortBackLinks,support@portbacklinks.com,invited
Proxied - 5g Proxies,support@proxied.com,invited
QuickEstimate,support@quickestimate.io,invited
Qwen3 TTS,support@qwen3tts.com,invited
Reflect,support@reflect.app,invited
AI Remove Text,support@remove-text.com,invited
