Name,URL,Description,Founder,Email,Contact Fallback,Source
Blueberry,https://www.blueberry.cool,Mac menu bar app that drafts iMessage replies in your voice and lets you review before sending,Rishi Narain,,PH profile: https://www.producthunt.com/@rishi_narain,Product Hunt
Reference,https://tryreference.com,Local semantic search for files and code built for AI agents with a built in MCP server and no cloud,Rahul Thennarasu,,GitHub: https://www.github.com/RahulThennarasu/reference,Product Hunt
Website to Markdown API,https://exabase.io/tools/website-to-markdown,API that submits a URL and returns clean LLM-ready Markdown with JS rendering and anti-bot handling built in,Johnny (Exabase),,PH profile: https://www.producthunt.com/@johnny_makes,Product Hunt (Aug 6 rank 8)
Aveiro,https://aveiro.app,AI native publishing platform for sites blogs newsletters and social media with MCP support for ChatGPT Claude and Cursor,Lorant One and Justin,,PH profile: https://www.producthunt.com/@lorant_one,Product Hunt (Aug 6 rank 9)
Ticketdesk AI,https://ticketdesk.ai,AI agents for customer support that handle tickets classify and reply automatically on chat and email,TBD,,https://ticketdesk.ai (contact page),Product Hunt (Aug 6 rank 13)
hey postcard,https://heypostcard.com,Slow messaging app where you write a digital postcard that arrives the next morning at a random time,Mihir and Heli,,https://heypostcard.com (contact form),Product Hunt (Aug 6 rank 14)
Token Harbor,https://tokenharbor.ai,One OpenAI compatible API to access GPT Claude Gemini DeepSeek Kimi and other frontier AI models,William Song,,PH profile: https://www.producthunt.com/@wsongth,Product Hunt (Aug 6 rank 15)
UCP Radar,https://ucpradar.com,Connects to Google Merchant Center and rewrites product feeds so they are readable by AI shopping agents like ChatGPT and Perplexity,18-year digital marketing veteran (solo),,https://ucpradar.com (contact page),Product Hunt (Aug 6 rank 17)
Superbrain for macOS,https://www.onesuperbrain.com,AI coding agent using a proprietary TokenFold architecture that uses fewer tokens and costs less than Claude Code or Cursor,TBD,,https://www.onesuperbrain.com (contact page),Product Hunt (Aug 6 rank 19)
Pangea,https://apps.apple.com/us/app/pangea-share-plans-recs/id1592449564,Social travel app to share plans recommendations and stats with friends built by Pangea Technology LLC,Pangea Technology LLC,,App Store listing (developer contact via App Store),Product Hunt (Aug 6 rank 24)
