nume aplicație,ce face pe scurt,link
Mastra Factory,Mediu open-source pentru livrare software cu agenți AI.,https://mastra.ai/factory
Harden,Strat local de securitate pentru agenți AI de coding.,https://harden.run
Noodle Seed,Transformă website-uri în aplicații AI și experiențe MCP.,https://noodleseed.com
49agents IDE,"IDE 2D pentru agenți, terminale, proiecte și mașini.",https://www.49agents.com
Type.com,"Workspace comun pentru Claude, Codex și echipe.",https://type.com
GoModel,Gateway AI open-source compatibil OpenAI și Anthropic.,https://gomodel.enterpilot.io
Diiverge,Transformă imagini în aventuri AI interactive.,https://diiverge.co
WorkID.ai,Platformă de recrutare cu angajatori și candidați verificați.,https://workid.ai
Frigade Assist API,API pentru ghidaj contextual în produs prin agenți AI.,https://frigade.com/assist-api
Brainloot,Task management și colaborare pentru echipe de game development.,https://brainloot.io
Gsheet CRM,CRM construit peste Google Sheets.,https://gsheetcrm.com
Nugget,Instrument de outreach cald folosind rețeaua LinkedIn existentă.,https://getnugget.ca
Diallogs,CRM cu tracking al apelurilor SIM pentru echipe de vânzări.,https://diallogs.com
CiteGraph,Urmărește și îmbunătățește menționarea produselor de către AI.,https://citegraph.app
Swiftime,Time tracking cu interfață conversațională pentru oameni și AI.,https://swiftime.ai
Skeezo,IDE macOS orientat spre agenți Claude Code.,https://skeezo.dev
Milo,Testează agenți AI de suport înainte de contactul cu clienții.,https://joinmilo.email
Modeinspect,Design de UI direct în codebase și componente reale.,https://modeinspect.com
Whip,Feed pentru jocuri și experiențe web interactive.,https://whip.run
Vibe Eyes,Transformă animalul tău într-un avatar animat în bara macOS.,https://apps.apple.com
HelixID,Strat open-source de identitate și încredere pentru agenți AI.,https://helixid.dev
Rdltr,Inbox și reading list pentru articole salvate.,https://rdltr.app
LearningTo,Pregătire gratuită pentru interviuri tehnice cu exerciții și feedback AI.,https://learningto.co
ZOOMAA AI,Găsește leaduri și oportunități pe LinkedIn.,https://zoomaa.ai
Hydra,Terminal agentic open-source cu sesiuni persistente.,https://github.com/hydraterm/hydra-local
Truelist MCP,Validare email pentru agenți AI prin MCP.,https://truelist.io
Web Anatomy,Cercetare AI pentru design și structură de website-uri.,https://webanatomy.ai
DreamFort,Workspace privat pentru modele AI.,https://dreamfort.ai
Trackee,API pentru SEO și vizibilitate în motoare AI.,https://trackee.dev
Wensity UI,Componente React gata pentru interfețe de producție.,https://ui.wensity.com
systemscheck.dev,Test interactiv pentru cunoștințe de programare și sisteme.,https://systemscheck.dev
Nodeon,"Hub sincronizat pentru produse, comenzi, stoc și facturi.",https://nodeon.it
Floating Notes 2.0,Sticky notes pe pagini web sincronizate între dispozitive.,https://floatingnotes.app
SubIQ,Detectează driftul licențelor ServiceNow fulfiller.,https://sub-iq.com
Custom Commands,Construiește comenzi Discord personalizate.,https://ccbot.app
OpenCreators Lead Finder,Găsește pe X persoane care caută produse similare cu al tău.,https://tiny.opencreators.ai
Notebook.link,Rulează și distribuie notebook-uri Jupyter direct în browser.,https://notebook.link
Kirha SAS Interpreter,Interpreter SAS open-source construit cu agenți.,https://kirha.com
Is It Training On Me,Scor public pentru politicile AI privind folosirea datelor.,https://isittrainingonme.com
Security Cards,Ghid open-source pentru cod mai sigur generat de agenți AI.,https://rewarelabs.com
SPM,Package manager pentru skill-uri AI la nivel de repository.,https://camunda.github.io
PwnC,Platformă web orientată spre aplicații și sisteme multi-agent.,https://pwnc.it
Waiting Club,Spațiu online pentru utilizatori care așteaptă răspunsul agenților AI.,https://waiting.club
GeoSurge,Tracking gratuit al vizibilității brandului în răspunsuri AI.,https://app.geosurge.ai
Vantage Golf GPS,Aplicație GPS simplă pentru golf.,https://apps.apple.com
BlindLock,Stochează parole și note criptate într-o imagine locală.,https://blindlock.app
Relay,Strat vocal pentru controlul dashboard-urilor dense.,https://aniruddha-sainkar.github.io
Apparat UI,Bibliotecă React pentru editoare și instrumente creative.,https://github.com/tommyjepsen/apparat-ui
Subdomains API,API pentru interogarea unei baze mari de subdomenii.,https://subdomains.jsmon.sh
Wensity UI Components,Bibliotecă UI React pentru produse web moderne.,https://ui.wensity.com
