app_name,website,category,launch_date,launch_source,launch_source_url,contact_email,contact_source_url,verification_note
Nex,https://nex.ai,AI agents / workflow,2026-09-03,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/3,contact@nex.ai,https://nex.ai/privacy-policy,Official privacy policy publishes contact@nex.ai.
Agent Builder by Airtop,https://airtop.ai,Browser automation / AI agents,2026-09-03,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/3,support@airtop.ai,https://www.airtop.ai/tos,Official Airtop terms publish support@airtop.ai.
Omi,https://www.omi.me,AI wearable / productivity,2026-09-03,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/3,help@omi.me,https://www.omi.me/,Official Omi site publishes the support contact.
Atlas by World Labs,https://www.worldlabs.ai,Spatial AI / 3D,2026-09-03,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/3,support@worldlabs.ai,https://www.worldlabs.ai/terms-of-service,Official World Labs terms publish support@worldlabs.ai.
Higgsfield Genjutsu,https://higgsfield.ai,AI video / creative,2026-09-03,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/3,support@higgsfield.ai,https://higgsfield.ai/,Official Higgsfield support contact.
Blume.codes,https://blume.codes,Developer tools / AI coding,2026-09-03,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/3,hello@blume.codes,https://blume.codes/,Official Blume site publishes hello@blume.codes.
Fillo,https://fillo.so,AI productivity,2026-09-03,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/3,hello@fillo.so,https://fillo.so/,Official Fillo site publishes hello@fillo.so.
MagiCrew,https://www.magicrew.ai,Multi-agent AI / developer tools,2026-09-03,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/3,team@dtyq.com,https://github.com/dtyq/magicrew,Official project repository publishes team@dtyq.com.
TrackMCP,https://www.trackmcp.com,MCP analytics / developer tools,2026-09-04,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/4,privacy@trackmcp.com,https://www.trackmcp.com/,Official TrackMCP site publishes the contact.
Omarchy,https://omarchy.org,Operating system / developer tools,2026-09-04,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/4,david@omarchy.org,https://omarchy.org/,Official Omarchy site publishes David's email.
Offline JS Playground,https://chromewebstore.google.com/detail/offline-js-playground/jdgjodfmnklgkggkflehfkmmmjhgmdom,JavaScript developer tool,2026-09-04,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/4,suman.hansada@gmail.com,https://chromewebstore.google.com/detail/offline-js-playground/jdgjodfmnklgkggkflehfkmmmjhgmdom,Chrome Web Store publishes developer email.
Compliance by TwelveLabs,https://www.twelvelabs.io,Video AI / compliance,2026-09-04,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/4,support@twelvelabs.io,https://www.twelvelabs.io/,Official TwelveLabs support contact.
sidebranch,https://sidebranch.dev,Git / visual code review,2026-09-04,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/4,hellothere@cristobalgrana.me,https://chromewebstore.google.com/detail/sidebranch/ljgndbomggclpkejggdhocihphhhdhig,Chrome Web Store publishes the maker email.
Clockwork,https://vimoxshah.github.io/clockwork,AI coding agents / scheduling,2026-09-04,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/4,vmoksh.shah179@gmail.com,https://vimoxshah.github.io/,Maker's official site publishes the email and links Clockwork.
Doop,https://doop.design,Design / productivity,2026-09-02,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/2,hello@doop.design,https://doop.design/,Official Doop site publishes hello@doop.design.
Replay,https://www.replay.io,Developer tools / debugging,2026-09-02,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/2,hi@replay.io,https://www.replay.io/,Official Replay site publishes hi@replay.io.
Userlens,https://userlens.io,User research / analytics,2026-09-02,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/2,ankur@userlens.io,https://userlens.io/,Official Userlens site publishes founder contact.
Onset MCP,https://www.onset.io,MCP / developer tools,2026-09-02,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/2,support@onset.io,https://www.onset.io/,Official Onset site publishes support contact.
Parasocial,https://parasocial.fm,Audio / social app,2026-09-02,Product Hunt,https://www.producthunt.com/leaderboard/daily/2026/9/2,support@parasocial.fm,https://parasocial.fm/,Official product support email.
MeetLive,https://meetlive.cc,Meetings / collaboration,2026-09-02,BetaList,https://betalist.com/,admin@meetlive.cc,https://chromewebstore.google.com/,Public Chrome Web Store developer contact for MeetLive.
Stele,https://stele.so,Productivity / SaaS,2026-09-02,BetaList,https://betalist.com/,hello@stele.so,https://stele.so/,Official Stele site publishes hello@stele.so.
airtxt,https://www.airtxt.ai,AI writing / messaging,2026-09-02,BetaList,https://betalist.com/,hi@airtxt.ai,https://www.airtxt.ai/,Official airtxt site publishes hi@airtxt.ai.
Branca.ai,https://www.branca.ai,AI assistant,2026-09-02,BetaList,https://betalist.com/,kyle@branca.ai,https://www.branca.ai/,Official privacy/contact information publishes founder email.
HelpStack,https://helpstack.eu,Customer support / SaaS,2026-09-02,BetaList,https://betalist.com/,info@helpstack.eu,https://helpstack.eu/,Official HelpStack site publishes info@helpstack.eu.
Clico,https://clico.ai,AI productivity,2026-09-02,BetaList,https://betalist.com/,team@clico.ai,https://clico.ai/,Official Clico site publishes team@clico.ai.
Nodlume,https://www.nodlume.dev,Developer tools,2026-09-02,BetaList,https://betalist.com/,contact@quokkaquery.com,https://quokkaquery.com/,Official parent site identifies Nodlume and publishes contact email.
Kre8or,https://kre8or.ai,AI image / creative tools,2026-09-02,BetaList,https://betalist.com/,hello@kre8or.ai,https://kre8or.ai/,Official Kre8or site publishes hello@kre8or.ai.
NoCaps,https://nocaps.com,AI writing / productivity,2026-09-03,BetaList,https://betalist.com/,hello@nocaps.com,https://nocaps.com/,Official NoCaps site publishes hello@nocaps.com.
Session Replay,https://session-replay.com,Analytics / session replay,2026-09-03,BetaList,https://betalist.com/,support@session-replay.com,https://session-replay.com/,Official site publishes support@session-replay.com.
Molyin,https://molyin.com,Browser extension / productivity,2026-09-03,BetaList,https://betalist.com/,hi@nexty.dev,https://molyin.com/,Public developer contact tied to Molyin.
KoloQR,https://koloqr.com,QR / marketing,2026-09-03,BetaList,https://betalist.com/,support@koloqr.com,https://koloqr.com/,Official KoloQR contact page publishes support email.
SEOPulse,https://seopulse.digital,SEO / marketing,2026-09-03,BetaList,https://betalist.com/,seopulse.help@gmail.com,https://seopulse.digital/,Official SEOPulse site publishes support email.
Verva,https://verva.com,AI writing / text humanizer,2026-09-04,BetaList,https://betalist.com/,contact@verva.com,https://verva.com/,Official Verva terms/contact information publishes email.
GestorMSP,https://gestormsp.com.br,MSP / IT management,2026-09-04,BetaList,https://betalist.com/,contato@tisec.com.br,https://gestormsp.com.br/,Official site publishes company contact email.
Helvestor,https://helvestor.ch,Investing / portfolio analytics,2026-09-04,BetaList,https://betalist.com/startups/helvestor,info@helvestor.ch,https://helvestor.ch/,Public App Store/company contact verified.
ReplyHey,https://www.replyhey.com,Lead generation / outreach,2026-09-04,BetaList,https://betalist.com/,d@devkonic.com,https://www.replyhey.com/privacy,Official privacy policy publishes d@devkonic.com.
Summarly,https://summarly.com,AI summarization,2026-09-02,Stork,https://www.stork.ai/,founders@summarly.com,https://summarly.com/,Official privacy/contact page publishes founders@summarly.com.
portablemind,https://portablemind.io,AI / local productivity,2026-09-02,Stork,https://www.stork.ai/,team@portablemind.io,https://portablemind.io/,Official privacy page publishes team@portablemind.io.
HyperFX,https://hyperfx.pro,Finance / trading tools,2026-09-02,Stork,https://www.stork.ai/,support@hyperfx.pro,https://hyperfx.pro/,Official FAQ publishes support@hyperfx.pro.
SEOmatic for Claude & ChatGPT,https://seomatic.ai,SEO / AI marketing,2026-09-02,Stork,https://www.stork.ai/,contact@seomatic.ai,https://seomatic.ai/,Official SEOmatic site publishes contact@seomatic.ai.
WriteinaClick,https://writeinaclick.com,AI writing,2026-09-02,Stork,https://www.stork.ai/,founder@writeinaclick.com,https://writeinaclick.com/,Public developer contact publishes founder@writeinaclick.com.
Unitpost,https://www.unitpost.com,Social media / content,2026-09-02,Stork,https://www.stork.ai/,legal@unitpost.com,https://www.unitpost.com/,Official Unitpost DPA publishes legal@unitpost.com.
AI Expense Notebook,https://expensenotebook.codematics.co,Expense tracking / finance,2026-09-03,Stork,https://www.stork.ai/,malikahsan@codematics.co,https://expensenotebook.codematics.co/,Public app-store developer contact from Codematics.
Deep Alpha,https://deepalpha.tech,Finance / AI analytics,2026-09-03,Stork,https://www.stork.ai/,info@deepalpha.tech,https://deepalpha.tech/,Official site publishes info@deepalpha.tech.
Maxpertise,https://www.maxpertise.net,AI business tools,2026-09-03,Stork,https://www.stork.ai/,contact@maxpertise.net,https://www.maxpertise.net/,Official site publishes contact@maxpertise.net.
Just Apply,https://zynclo.com,Job search / automation,2026-09-04,Stork,https://www.stork.ai/,support@zynclo.com,https://zynclo.com/,Official developer site identifies Just Apply and publishes support email.
Inline,https://inline.chat,Team chat / AI collaboration,2026-09-04,Stork,https://www.stork.ai/,hey@inline.chat,https://inline.chat/,Official Inline site publishes hey@inline.chat.
The Face Report,https://thefacereport.com,AI image / face analysis,2026-09-04,Stork,https://www.stork.ai/,contact@thefacereport.com,https://thefacereport.com/,Official privacy/contact page publishes email.
NextlerAI Publisher,https://veebilehed24.ee,AI publishing / WordPress,2026-09-02,AISO Tools,https://aisotools.com/,info@veebilehed24.ee,https://veebilehed24.ee/,Official developer site publishes info@veebilehed24.ee.
BrickForgerAI,https://brickforgerai.com,AI 3D / brick model generation,2026-09-02,LambdaBase,https://www.lambdabase.com/tools/brickforgerai,help@brickforgerai.com,https://brickforgerai.com/help,LambdaBase lists it on Sep 2 and official help page publishes help@brickforgerai.com.
