nume aplicație,ce face pe scurt,link,email
Typewise Nova,"AI customer experience agents that build, test, and improve themselves.",https://typewise.app,hello@typewise.app
OpenObserve,"OpenTelemetry-native observability for agents, LLMs, logs, metrics, and traces.",https://openobserve.ai,hello@openobserve.ai
Subanana,"Multilingual live captions, transcription, summaries, and subtitle workflows.",https://subanana.com,hello@subanana.com
Wealthfolio,Local-first personal finance and investment tracking app.,https://wealthfolio.app,hello@wealthfolio.app
Desert Ant Labs,"Small specialized AI models for speech, text, and vision on-device.",https://desertant.com,hello@desertant.com
Viso Now,AI platform that builds computer vision applications from images and video.,https://viso.ai,info@viso.ai
Drive,"Phone-based vehicle telemetry for g-force, braking, cornering, and driving traces.",https://viablelabs.ai,hello@viablelabs.ai
OpenFate,AI product for exploring and working with decision or outcome scenarios.,https://openfate.ai,hi@openfate.ai
SubmitRank,Submission and ranking workflow for product and startup visibility.,https://submitrank.com,hello@submitrank.com
FrameThrower,AI-assisted visual and frame generation workflow.,https://framethrower.ai,hello@framethrower.ai
SafeNet Creations,Software tools focused on safer online creation and publishing.,https://safenetcreations.com,contact@safenetcreations.com
Humanleap,AI-assisted workflow product focused on human productivity and work.,https://humanleap.com,hello@humanleap.com
Speechyou,Speech and voice processing product for spoken content workflows.,https://speechyou.com,support@speechyou.com
ChinaAI,AI product and information platform focused on China-related AI.,https://chinaai.app,support@chinaai.app
BriefIQ,AI SEO brief generator for content planning and search optimization.,https://briefiq.io,hello@briefiq.io
FacelessReels.co,Creates faceless short-form video and reel content.,https://facelessreels.co,support@facelessreels.co
Max H3,H3 geospatial utility and workflow product.,https://maxh3.com,hello@maxh3.com
SmartLinks,Creates and manages smart links for sharing and attribution.,https://smartlinks.live,support@smartlinks.live
Pulse by Smallest AI,Voice AI product from Smallest AI.,https://smallest.ai,hello@smallest.ai
VoiceCRM,Voice-first CRM workflow for capturing and managing customer information.,https://voice-crm.pro,support@voice-crm.pro
Nano Banana 2,AI image generation and editing product.,https://nanobanana2.com,support@nanobanana2.com
N+One,Software product for organizing and improving digital workflows.,https://nplusone.app,support@nplusone.app
Live3D,"Tools for live 3D avatars, VTubing, and interactive character content.",https://live3d.io,support@live3d.io
Revenudge,Revenue-focused product for nudges and conversion workflows.,https://revenudge.com,hello@revenudge.com
NexusProMail,Email productivity and professional mail workflow product.,https://nexuspromail.com,support@nexuspromail.com
AIQualityHQ,AI quality evaluation and testing resources and workflows.,https://aiqualityhq.com,hello@aiqualityhq.com
Aamu.app,AI-assisted productivity application.,https://aamu.app,hello@aamu.app
AdScope,Visual ad-performance dashboards for agencies and business owners.,https://adscope.live,hello@adscope.live
Mock Magic Video Presets,Video preset and mockup tooling for faster visual production.,https://mockmagic.com,support@mockmagic.com
AlphaGenome Atlas,AI-powered map of predicted effects for human DNA variants.,https://deepmind.google,press@deepmind.com
Veevid AI,AI video generation and editing product.,https://veevid.ai,support@veevid.ai
Qamarero,Restaurant operations and digital service platform.,https://qamarero.com,hola@qamarero.com
Levanta,Personal development and habit-focused application.,https://levanta.life,hello@levanta.life
WYWO,Callback and customer follow-up workflow for teams.,https://wywo.ai,hello@wywo.ai
Kanvly,Visual creation and productivity application.,https://kanvly.com,support@kanvly.com
H3 Video,Video generation and processing product.,https://h3-video.org,support@h3-video.org
SoftDesk,AI-assisted customer support and service desk product.,https://softdesk.app,support@softdesk.app
Facturwise,Invoice and business billing workflow product.,https://facturwise.com,support@facturwise.com
Pulse,Productivity and monitoring application.,https://pulseapp.com,support@pulseapp.com
DuckFightClub,AI-trained robot competition and reinforcement-learning community project.,https://duckfight.club,hello@duckfight.club
2paste.io,Fast online paste and text-sharing utility.,https://2paste.io,support@2paste.io
Ray 3.2 AI Video Generator,AI video generation product built around Ray 3.2 workflows.,https://ray32.app,support@ray32.app
onsubmit.dev,Developer workflow product for handling form submissions.,https://onsubmit.dev,hello@onsubmit.dev
LiteralKit,Developer-focused software toolkit and workflow product.,https://literalkit.com,hello@literalkit.com
Vynoa,AI application for automated digital workflows.,https://vynoa.ai,support@vynoa.ai
JurisLane,Legal technology product for AI-assisted legal workflows.,https://jurislane.com,support@jurislane.com
Polymart,Software marketplace and digital product platform.,https://polymart.app,support@polymart.app
ClariMarkets,Market intelligence and analysis product.,https://clarimarkets.com,support@clarimarkets.com
PlutoBa,Software application for digital productivity workflows.,https://plutoba.com,support@plutoba.com
Voql FREE,Voice and communication AI product.,https://voql.ai,support@voql.ai
